school_id,pupil_id,grade,Fluency,Kiswahili,Math,attendance_records,present_records,region,province,tutoring_program,teacher_id,lesson_completion_rate,pupil_percent_present,Fluency_encoding
792,9047,Grade 4,239.0,0.8199999928474426,0.6800000071525574,42,32,Siaya,Nyanza,No,258,0.79874213836478,76.19,0
792,9125,Grade 4,200.0,0.5799999833106995,0.6600000262260437,92,67,Siaya,Nyanza,No,258,0.79874213836478,72.83,0
792,9423,Grade 2,10.0,0.6857143044471741,0.4333333373069763,96,81,Siaya,Nyanza,No,201,0.876425855513308,84.38,1
792,9866,Grade 5,,,,99,46,Siaya,Nyanza,No,259,0.964285714285714,46.46,0
792,10036,Grade 4,254.0,0.8399999737739563,0.8799999952316284,42,37,Siaya,Nyanza,No,258,0.79874213836478,88.1,0
792,10474,Grade 3,219.0,0.8857142925262451,0.7333333492279053,98,69,Siaya,Nyanza,No,669,0.882136279926335,70.41,0
792,11935,Grade 5,,,,86,47,Siaya,Nyanza,No,259,0.964285714285714,54.65,0
792,12017,Grade 5,221.0,0.875,0.6200000047683716,99,94,Siaya,Nyanza,No,259,0.964285714285714,94.95,0
792,12226,Grade 3,220.0,0.9714285731315613,0.9666666388511658,48,46,Siaya,Nyanza,No,669,0.882136279926335,95.83,0
792,12550,Grade 4,245.0,0.8199999928474426,0.7599999904632568,92,57,Siaya,Nyanza,No,258,0.79874213836478,61.96,0
792,12799,Grade 2,12.0,0.6285714507102966,0.1666666716337204,96,90,Siaya,Nyanza,No,201,0.876425855513308,93.75,0
792,12921,Grade 1,68.0,0.800000011920929,0.8999999761581421,95,74,Siaya,Nyanza,No,545,0.809248554913295,77.89,0
792,13390,Grade 5,100.0,0.8500000238418579,0.5,99,79,Siaya,Nyanza,No,259,0.964285714285714,79.8,0
792,14541,Grade 3,200.0,0.8857142925262451,0.9333333373069763,48,34,Siaya,Nyanza,No,669,0.882136279926335,70.83,0
792,14555,Grade 3,214.0,0.9428571462631226,0.800000011920929,104,74,Siaya,Nyanza,No,669,0.882136279926335,71.15,0
792,15260,Grade 3,210.0,0.9142857193946838,0.7333333492279053,104,92,Siaya,Nyanza,No,669,0.882136279926335,88.46,0
792,16162,Grade 2,90.0,0.7142857313156128,0.800000011920929,96,77,Siaya,Nyanza,No,201,0.876425855513308,80.21,0
792,16262,Grade 2,130.0,0.7428571581840515,0.8666666746139526,96,90,Siaya,Nyanza,No,201,0.876425855513308,93.75,0
792,16592,Grade 2,86.0,0.6285714507102966,0.5,96,71,Siaya,Nyanza,No,201,0.876425855513308,73.96,0
792,16743,Grade 1,70.0,0.9714285731315613,1.0,95,63,Siaya,Nyanza,No,545,0.809248554913295,66.32,0
792,16872,Grade 3,211.0,0.8571428656578064,0.9333333373069763,104,86,Siaya,Nyanza,No,669,0.882136279926335,82.69,0
792,16938,Grade 4,231.0,0.6000000238418579,0.30000001192092896,92,56,Siaya,Nyanza,No,258,0.79874213836478,60.87,0
792,16953,Grade 4,235.0,0.7599999904632568,0.6800000071525574,42,32,Siaya,Nyanza,No,258,0.79874213836478,76.19,0
792,16999,Grade 4,10.0,0.20000000298023224,0.14000000059604645,92,83,Siaya,Nyanza,No,258,0.79874213836478,90.22,1
792,17016,Grade 2,13.0,0.4000000059604645,0.4333333373069763,96,78,Siaya,Nyanza,No,201,0.876425855513308,81.25,0
792,17077,Grade 1,72.0,0.7714285850524902,0.9666666388511658,95,64,Siaya,Nyanza,No,545,0.809248554913295,67.37,0
792,17365,Grade 4,237.0,0.7599999904632568,0.7400000095367432,92,62,Siaya,Nyanza,No,258,0.79874213836478,67.39,0
792,17613,Grade 2,96.0,0.7142857313156128,0.5,96,85,Siaya,Nyanza,No,201,0.876425855513308,88.54,0
792,18192,Grade 2,45.0,0.7142857313156128,0.46666666865348816,96,81,Siaya,Nyanza,No,201,0.876425855513308,84.38,0
792,18255,Grade 3,216.0,0.8285714387893677,0.9666666388511658,104,93,Siaya,Nyanza,No,669,0.882136279926335,89.42,0
